NEW_COD_STUDENT,SOCIOECONOMICAL_INDEX,HIGHSCHOOL_NAME,SEX,HIGHSCHOOL_TYPE,YEAR_OF_BIRTH,COUNTRY_OF_BIRTH,CITY_OF_BIRTH,ACADEMIC_LEVEL,PROFESSOR_ID,COURSE_ID,SEMESTER,YEAR,ADMISSION_YEAR,FIEC03012,FIEC04341,FIEC05066,ICM00901
168,3,NACIONAL VICENTE ROCAFUERTE GUAYAQUIL,M,Fiscal,1980,ECUADOR,CATACOCHA,TERCER NIVEL (PREGRADO),18659,FIEC05066,2T,2001,2000,8.05,6.15,6.45,4.65
259,9,RUBIRA  SALINAS,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),33647,FIEC05066,2T,2001,2000,8.4,7.2,8.15,7.25
272,7,TECNICO SIMON BOLIVAR GUAYAQUIL,M,Fiscal,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),20213,FIEC05066,1T,2002,2000,8.85,7.25,7.4,7.25
306,19,SAN JOSE LA SALLE GUAYAQUIL,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),18659,FIEC05066,2T,2001,2000,6.7,6.7,7.2,6.25
322,10,ACADEMIA NAVAL GUAYAQUIL GUAYAQUIL,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),18659,FIEC05066,2T,2005,2000,2.1,6.1,6.55,8.9
341,12,MIRAFLORES  MILAGRO,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),18659,FIEC05066,2T,2001,2000,7.0,1.8,6.4,6.0
344,7,CRISTOBAL COLON GUAYAQUIL,M,Particular,1983,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),18659,FIEC05066,1T,2002,2000,9.35,7.25,6.55,6.75
346,11,SANTO DOMINGO DE GUZMAN GUAYAQUIL,F,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),20213,FIEC05066,1T,2002,2000,8.95,1.85,6.3,6.2
347,14,MILITAR TENIENTE  HUGO ORTIZ GARCES GUAYAQUIL,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),33647,FIEC05066,2T,2001,2000,8.7,3.85,8.7,6.5
348,6,ACADEMIA NAVAL GUAYAQUIL GUAYAQUIL,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),18659,FIEC05066,1T,2003,2000,0.95,0.25,7.1,6.5
350,6,LA INMACULADA GUAYAQUIL,F,Particular,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),18659,FIEC05066,2T,2001,2000,8.45,7.05,6.7,8.0
351,20,NUESTRA MADRE  DE LA MERCED    GUAYAQUIL,F,Particular,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),18659,FIEC05066,1T,2001,2000,6.5,7.8,7.6,6.7
352,7,MIRAFLORES  MILAGRO,M,Particular,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),20213,FIEC05066,1T,2002,2000,6.3,6.9,4.8,3.5
353,7,EXPERIMENTAL  LEONIDAS GARCIA  GUAYAQUIL,M,Fiscal,1983,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),39684,FIEC05066,2T,2002,2000,5.9,4.25,6.65,6.85
355,10,CRISTOBAL COLON GUAYAQUIL,M,Particular,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),18659,FIEC05066,1T,2001,2000,6.65,7.75,7.25,6.15
