ADMISSION_YEAR,SOCIOECONOMICAL_INDEX,SEX,HIGHSCHOOL_TYPE,YEAR_OF_BIRTH,COUNTRY_OF_BIRTH,CITY_OF_BIRTH,ACADEMIC_LEVEL,COURSE_ID,YEAR,SEMESTER,PROFESSOR_ID,"('mean', 'ICM00166')","('mean', 'ICM00216')","('mean', 'ICM00604')","('mean', 'ICM00646')","('count', 'ICM00166')","('count', 'ICM00216')","('count', 'ICM00604')","('count', 'ICM00646')"
2000,5,M,Nacional,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2002,2S,5512,4.4,6.5,6.05,6.9,0.0,1.0,1.0,1.0
2000,7,M,Particular,1981,ECUADOR,LA TRONCAL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,44941,6.15,6.4,4.525,6.7,0.0,1.0,2.0,1.0
2000,12,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,38816,6.85,7.65,6.0,7.35,0.0,1.0,1.0,1.0
2000,6,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,44941,7.75,10.0,7.8,9.25,0.0,1.0,1.0,1.0
2000,12,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,38816,6.15,8.6,8.25,8.05,0.0,1.0,1.0,1.0
2000,9,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,30468,6.6,7.8,6.15,8.3,0.0,1.0,1.0,1.0
2000,3,M,Nacional,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,2752,6.05,6.95,7.05,6.35,0.0,1.0,1.0,1.0
2000,7,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,44941,6.75,6.0,8.35,6.3,0.0,1.0,1.0,1.0
2000,11,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,2S,2752,7.65,6.95,8.15,8.15,0.0,1.0,1.0,1.0
2000,5,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,33298,6.0,7.9,7.35,8.4,0.0,1.0,1.0,1.0
2000,12,M,Particular,1982,ECUADOR,LOJA,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,2752,7.55,8.05,6.8,7.45,0.0,1.0,1.0,1.0
2000,7,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,30468,6.05,6.0,6.075,5.625,0.0,1.0,2.0,2.0
2000,8,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,2752,6.0,7.65,6.95,6.8,0.0,1.0,1.0,1.0
2000,6,F,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,39926,7.5,6.15,6.1,6.6,0.0,1.0,1.0,1.0
2000,8,M,Particular,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,33298,6.0,6.05,6.35,4.925,0.0,1.0,1.0,2.0
2000,9,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,39926,7.6,6.0,7.8,8.9,0.0,1.0,1.0,1.0
2000,13,M,Particular,1983,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2001,1S,2752,7.45,7.45,8.8,7.95,0.0,1.0,1.0,1.0
2000,12,M,Particular,1983,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2001,1S,33586,6.95,8.7,7.0,7.3,0.0,1.0,1.0,1.0
2000,18,F,Instituto,1983,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,2752,6.95,8.1,7.7,8.1,0.0,1.0,1.0,1.0
2000,11,M,Particular,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,33298,6.1,6.1,6.45,6.75,0.0,2.0,1.0,1.0
2000,9,M,Particular,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,44941,6.3,6.25,6.6,6.85,0.0,1.0,1.0,1.0
2000,16,M,Particular,1983,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2001,1S,30468,6.35,6.8,6.05,6.8,0.0,1.0,1.0,1.0
2000,7,F,Particular,1980,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,38816,5.05,6.0,4.925,5.05,0.0,1.0,2.0,2.0
2000,7,M,Nacional,1983,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,33298,7.1,7.45,8.65,9.35,0.0,1.0,1.0,1.0
2000,5,M,Particular,1982,ECUADOR,JUJAN,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,44941,7.15,7.55,8.2,9.2,0.0,1.0,1.0,1.0
2000,19,M,Particular,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,44941,6.85,6.0,5.8500000000000005,6.75,0.0,1.0,3.0,2.0
2000,8,M,Particular,1982,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,39926,7.55,6.0,6.9,4.05,0.0,2.0,1.0,2.0
2000,11,M,Particular,1981,ECUADOR,MACHALA,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,41430,6.25,6.1,6.449999999999999,6.9,0.0,1.0,2.0,1.0
2000,10,M,Particular,1981,ECUADOR,GUAYAQUIL,TERCER NIVEL (PREGRADO),ICM00216,2000,1S,38816,7.5,6.6,6.275,6.550000000000001,0.0,1.0,2.0,2.0
