COURSE_ID,Course_Name,Course_Practical_Credits,Course_Theoritical_Credits
PRTEL02584,ACCIONAMIENTOS INDUSTRIALES,0,3
ICHE05074,ACERCAMIENTO A LA LITERATURA LATINOAMERICANA CONTEMPORÁNEA,0,3
LITG2002,ACERCAMIENTO A LOS CLÁSICOS DE LA LITERATURA MUNDIAL,0,2
FCV000182,Actividades de extensiÃ³n y perfeccionamiento I,0,0
FCV000190,Actividades de extensiÃ³n y perfeccionamiento II,0,0
ARTG2013,ACTUACIÓN,0,2
FMAR02683,ACUIC.AGUA DULCE,2,4
FMAR02477,ACUIC.AGUA SALADA,2,3
FMAR01743,ACUIC.DE AGUA DULCE I,1,3
FMAR01792,ACUIC.DE AGUA DULCE II,2,3
ACUG1030,ACUICULTURA INTEGRAL,0,3
ACUG1024,ACUICULTURA ORNAMENTAL,0,2
FMAR04663,ACUICULTURA ORNAMENTAL,1,3
ACUG1025,ACUICULTURA Y MEDIO AMBIENTE,0,3
FIMP07484,ADITIVOS Y AUXILIARES ALIMENTARIOS,0,3
PRTCO02063,ADM.BASES DATOS(TN),0,0
FMAR03632,ADM.CALIDAD SECTOR TURÍSTICO,0,4
ESPAE001735,ADM DE LAS ORGANIZACIONES DE SALUD,0,0
ICHE03335,ADM. DEL SUELO Y SU FERTILIZACIÓN,0,3
ESPAE001859,ADM DE OPERACIONES,0,0
ESPAE000802,ADM DE RECURSOS FINANCIEROS,0,0
FMAR03202,ADM.DIQUES Y ASTILL.(INR),0,3
PRTCO01941,ADM.DOCUMENTOS(TJ),0,0
FMAR02352,ADM.EMP.ACUIC.I,0,3
FMAR02410,ADM.EMP.ACUIC.II,2,3
FMAR02873,ADM.EMP.TURIST.,0,4
ICHE03871,ADM.FINANCIERA INTERNACIONAL,0,4
FIMP06221,ADMINIST.AGROPECUARIA,0,3
FMAR04424,ADMINIST.DE EMPRESAS TURÍSTICAS I,0,4
FMAR04432,ADMINIST.DE EMPRESAS TURÍSTICAS II,0,4
FIEC05330,ADMINISTRAC.CENTRO CÓMPUT. (AUDIT.),0,4
ESPAE002840,ADMINISTRACIÓN,0,0
ICHE01693,ADMINISTRACIÓN,0,4
ICHE03863,ADMINISTRACIÓN APLICADA,0,3
ICHE00448,ADMINISTRACIÓN DE EMPRESAS,0,4
FMAR04630,ADMINISTRACIÓN DE EMPRESAS ACUÍCOLAS,0,4
FMAR04721,ADMINISTRACIÓN DE EMPRESAS PESQUERAS,2,2
ICHE02659,ADMINISTRACIÓN DE EMPRESAS Y RECURSOS HUMANOS,0,3
ADMG2013,ADMINISTRACIÓN DE INNOVACIÓN,0,3
PRTAL00836,ADMINISTRACIÓN DE LA PRODUCCIÓN,0,3
FIEC06262,ADMINISTRACIÓN DE LAS PYMES,0,4
EDCOM01115,ADMINISTRACIÓN DEL DISEÑO,0,6
FIEC05975,ADMINISTRACIÓN DEL NEGOCIO DE LA ENERGÍA ELÉCTRICA,0,4
ESPAE001594,ADMINISTRACION DE OPERACIONES,0,0
FIEC001925,ADMINISTRACION DE OPERACIONES,0,0
ADMG2018,ADMINISTRACIÓN DE OPERACIONES,0,3
PRTCO02832,ADMINISTRACIÓN DE OPERACIONES,0,4
FIEC001891,ADMINISTRACION DE PROCESOS DE NEGOCIO,0,0
FIEC001941,ADMINISTRACION DE PROYECTOS DE SOFTWARE,0,0
ICHE01420,ADMINISTRACIÓN DE RECURSOS HUMANOS,0,4
PRTCO03145,ADMINISTRACIÓN DE REDES,4,0
PRTAL01248,ADMINISTRACIÓN DE SERVICIOS DE ALIMENTACIÓN,0,4
TICG1002L,ADMINISTRACIÓN DE SERVICIOS DE RED BAJO LINUX,0,0
TICG1002,ADMINISTRACIÓN DE SERVICIOS DE RED BAJO LINUX,0,2
PRTCO03137,ADMINISTRACIÓN DE SERVIDORES,3,1
PRTEL02923,ADMINISTRACIÓN DE SERVIDORES WEB,2,2
FIMP04887,ADMINISTRACIÓN DE SISTEMAS DE CALIDAD(IAPI),0,3
