NEW_COD_STUDENT,COURSE_ID,YEAR,SEMESTER,GRADE,"('amax', 'ICM00166')","('amax', 'ICM00216')","('amax', 'ICM00604')","('amax', 'ICM00646')","('PrevLatestGrade', 'ICM00166')","('PrevLatestGrade', 'ICM00216')","('PrevLatestGrade', 'ICM00604')","('PrevLatestGrade', 'ICM00646')","('count', 'ICM00166')","('count', 'ICM00216')","('count', 'ICM00604')","('count', 'ICM00646')",IS_REPEATER,C_LOAD,alpha,beta,Course_Theoritical_Credits,Course_Practical_Credits
8910,ICM00166,2002,1S,7.65,7.65,8.4,8.1,8.5,6.742422625400218,8.4,8.1,8.5,0.0,1.0,1.0,1.0,0,5,5.41605591,2.749603848,16,2
6134,ICM00166,2008,2S,6.6,6.6,7.8,6.0,8.0,5.0,7.8,6.0,5.45,1.0,1.0,1.0,2.0,1,6,6.572270574,3.8550232060000003,21,1
6096,ICM00166,2008,2S,6.85,6.85,6.05,6.0,6.05,5.65,6.05,2.85,1.45,1.0,1.0,3.0,2.0,1,7,7.617073982000001,3.774862918,24,6
6095,ICM00166,2005,2S,6.9,6.9,7.7,7.6,7.7,6.9,7.7,7.6,7.7,1.0,1.0,1.0,1.0,1,6,6.867064522000001,5.406197302000001,24,6
6094,ICM00166,2005,2S,6.05,6.05,6.65,7.0,6.5,6.742422625400218,6.65,7.0,6.5,0.0,1.0,1.0,1.0,0,4,4.862987488,5.368687471,18,3
6093,ICM00166,2006,1S,6.4,6.4,6.25,6.8,6.4,6.742422625400218,6.25,6.8,6.4,0.0,1.0,1.0,1.0,0,5,5.91200622,5.462998648999999,22,1
6092,ICM00166,2006,1S,6.25,6.25,6.1,6.2,7.6,6.742422625400218,6.1,6.2,5.6,0.0,1.0,1.0,2.0,0,4,4.603166197,3.8502631480000002,17,1
6091,ICM00166,2006,2S,6.85,6.85,6.75,6.05,7.45,6.85,6.75,6.05,7.45,2.0,1.0,1.0,1.0,1,6,6.668922144,4.2945212260000005,19,3
6090,ICM00166,2005,3S,8.45,8.45,8.05,9.3,8.75,6.742422625400218,8.05,9.3,8.75,0.0,1.0,1.0,1.0,0,1,1.2232990959999999,1.39076256,4,0
6089,ICM00166,2005,3S,6.3,6.3,7.0,6.0,6.85,6.742422625400218,7.0,6.0,6.85,0.0,1.0,1.0,1.0,0,1,1.2232990959999999,1.39076256,4,0
6088,ICM00166,2006,3S,6.1,6.1,6.05,8.3,6.45,4.55,6.05,5.3,6.45,1.0,1.0,3.0,1.0,1,1,1.2232990959999999,1.39076256,4,0
6087,ICM00166,2006,1S,6.05,6.05,6.6,6.25,6.15,6.742422625400218,6.6,6.25,5.9,0.0,1.0,1.0,2.0,0,5,5.947700762,5.738354657,19,3
6086,ICM00166,2005,2S,9.8,9.8,10.0,9.65,10.0,6.742422625400218,10.0,9.65,10.0,0.0,1.0,1.0,1.0,0,5,5.6329768829999995,3.8980921939999997,20,5
6085,ICM00166,2005,2S,6.5,6.5,8.1,6.45,6.0,6.5,8.1,6.45,6.0,1.0,1.0,1.0,1.0,1,6,6.731791237,4.350895036,22,6
6084,ICM00166,2008,1S,6.0,6.0,6.05,6.15,6.05,5.1,6.05,6.15,6.05,1.0,1.0,1.0,1.0,1,5,5.720005315,4.621253286,16,4
6083,ICM00166,2005,2S,6.15,6.15,7.1,6.0,7.15,6.742422625400218,7.1,5.05,7.15,0.0,1.0,2.0,1.0,0,5,5.805236366,5.191984112,24,3
6082,ICM00166,2006,3S,6.0,6.0,6.1,7.65,6.4,5.35,1.75,5.1,2.45,1.0,2.0,3.0,2.0,1,3,3.507708348,3.2833386960000004,12,0
6081,ICM00166,2005,3S,6.85,6.85,6.8,6.85,6.75,6.742422625400218,6.8,6.85,6.75,0.0,1.0,1.0,1.0,0,1,1.2232990959999999,1.39076256,4,0
6080,ICM00166,2005,3S,7.5,7.5,7.4,7.55,7.2,4.3,7.4,7.55,7.2,1.0,1.0,1.0,1.0,1,2,2.370372136,2.373593765,9,0
6079,ICM00166,2005,2S,6.05,6.05,6.0,6.3,6.75,6.742422625400218,6.0,6.3,6.75,0.0,1.0,1.0,1.0,0,5,5.6329768829999995,3.8980921939999997,20,5
6078,ICM00166,2005,3S,6.9,6.9,6.3,6.0,6.5,6.742422625400218,6.3,6.0,6.5,0.0,1.0,1.0,1.0,0,1,1.2232990959999999,1.39076256,4,0
6077,ICM00166,2007,3S,6.95,6.95,6.1,6.7,8.05,6.742422625400218,6.1,6.7,5.45,0.0,1.0,1.0,2.0,0,1,1.2232990959999999,1.39076256,4,0
6076,ICM00166,2005,2S,7.35,7.35,7.0,8.25,7.75,6.742422625400218,7.0,8.25,7.75,0.0,1.0,1.0,1.0,0,4,4.572895633,3.508657709,17,2
6072,ICM00166,2005,3S,7.7,7.7,8.3,6.85,7.65,6.742422625400218,8.3,6.85,7.65,0.0,1.0,1.0,1.0,0,1,1.2232990959999999,1.39076256,4,0
6071,ICM00166,2008,1S,6.35,6.35,7.25,6.7,3.95,6.742422625400218,4.7,3.4,3.65,0.0,2.0,3.0,2.0,0,5,5.6801368089999995,4.272780814,22,0
6070,ICM00166,2005,2S,6.6,6.6,6.7,6.1,7.65,6.742422625400218,6.7,6.1,7.65,0.0,1.0,1.0,1.0,0,5,5.896367811,5.283446182,17,4
6067,ICM00166,2007,3S,6.5,6.5,6.9,6.65,6.1,6.742422625400218,6.9,6.65,5.2,0.0,1.0,1.0,2.0,0,1,1.2232990959999999,1.39076256,4,0
6066,ICM00166,2007,1S,6.6,6.6,6.4,7.9,7.6,6.742422625400218,5.65,7.9,7.6,0.0,2.0,1.0,1.0,0,5,5.5192214129999995,3.444478236,22,0
6065,ICM00166,2005,3S,6.2,6.2,7.4,6.8,6.0,6.742422625400218,5.55,6.8,5.45,0.0,2.0,1.0,2.0,0,2,2.462146953,2.841209987,9,0
6064,ICM00166,2006,1S,6.2,6.2,6.85,6.4,7.45,5.25,5.65,6.4,7.45,1.0,2.0,1.0,1.0,1,4,4.399352337,2.5445898540000003,15,4
6063,ICM00166,2007,3S,8.45,8.45,6.0,6.0,6.0,4.6,6.0,6.0,5.0,1.0,1.0,1.0,2.0,1,1,1.2232990959999999,1.39076256,4,0
6058,ICM00166,2005,3S,6.7,6.7,6.25,6.1,6.2,5.3,6.25,6.1,6.2,1.0,1.0,1.0,1.0,1,1,1.2232990959999999,1.39076256,4,0
6057,ICM00166,2008,2S,6.55,6.55,6.25,6.0,6.15,5.3,6.25,5.5,6.15,2.0,1.0,2.0,1.0,1,3,3.146604625,0.781147983,13,0
6056,ICM00166,2005,2S,6.05,6.05,6.4,6.6,6.3,6.742422625400218,6.4,6.6,6.3,0.0,1.0,1.0,1.0,0,4,4.358033267,1.97265584,13,4
6055,ICM00166,2006,3S,6.05,6.05,6.05,6.0,6.0,6.742422625400218,6.05,6.0,4.3,0.0,1.0,1.0,2.0,0,2,2.606999257,3.533195751,8,0
6054,ICM00166,2006,2S,6.05,6.05,6.75,7.95,6.8,6.742422625400218,6.75,5.35,6.8,0.0,1.0,2.0,1.0,0,6,6.804599607999999,5.267731996,26,1
6053,ICM00166,2006,1S,6.2,6.2,6.45,7.7,7.65,6.742422625400218,5.35,5.8,4.45,0.0,2.0,3.0,2.0,0,6,6.565460035,3.5343113710000003,22,4
6052,ICM00166,2005,3S,8.3,8.3,8.55,9.7,9.0,6.742422625400218,8.55,9.7,9.0,0.0,1.0,1.0,1.0,0,1,1.2232990959999999,1.39076256,4,0
6051,ICM00166,2005,3S,8.4,8.4,7.7,6.95,7.85,6.742422625400218,7.7,6.95,7.85,0.0,1.0,1.0,1.0,0,1,1.2232990959999999,1.39076256,4,0
6050,ICM00166,2006,2S,6.1,6.1,7.7,6.0,7.05,4.75,5.35,6.0,7.05,1.0,2.0,1.0,1.0,1,4,4.485333242,3.22378758,12,3
6049,ICM00166,2006,1S,6.3,6.3,6.55,7.05,6.0,6.742422625400218,6.55,7.05,6.0,0.0,1.0,1.0,1.0,0,6,6.539116504,2.81599206,14,10
6048,ICM00166,2006,2S,6.5,6.5,6.1,6.6,6.45,1.3,6.1,6.6,6.45,1.0,1.0,1.0,1.0,1,6,6.221844182999999,1.392494568,14,10
6047,ICM00166,2008,1S,6.25,6.25,6.3,6.0,7.15,6.25,5.3,5.05,5.15,1.0,2.0,2.0,2.0,1,9,9.110717269,-0.28838955899999996,34,0
6045,ICM00166,2006,1S,6.05,6.05,7.15,6.5,6.65,4.95,7.15,6.5,6.65,1.0,1.0,1.0,1.0,1,5,5.73265111,4.447886614,20,1
6044,ICM00166,2007,1S,6.15,6.15,6.15,7.55,7.0,6.742422625400218,6.15,7.55,7.0,0.0,1.0,1.0,1.0,0,6,6.025104803,-0.556757553,21,0
6042,ICM00166,2005,3S,9.7,9.7,8.95,9.5,9.55,6.742422625400218,8.95,9.5,9.55,0.0,1.0,1.0,1.0,0,1,1.2232990959999999,1.39076256,4,0
6041,ICM00166,2008,3S,6.0,6.0,7.95,7.1,7.55,5.65,4.95,7.1,5.0,1.0,2.0,1.0,2.0,1,1,1.2232990959999999,1.39076256,4,0
6039,ICM00166,2005,3S,6.55,6.55,6.9,6.25,7.75,6.742422625400218,6.9,6.25,7.75,0.0,1.0,1.0,1.0,0,1,1.2232990959999999,1.39076256,4,0
6038,ICM00166,2007,2S,6.0,6.0,7.2,7.45,7.25,6.742422625400218,7.2,7.45,7.25,0.0,1.0,1.0,1.0,0,6,6.392623062,2.0915210490000002,21,3
6037,ICM00166,2011,1S,7.25,7.25,6.3,6.0,6.0,5.7,3.55,6.0,6.0,2.0,2.0,1.0,1.0,1,1,1.2232990959999999,1.39076256,4,0
6036,ICM00166,2006,1S,6.05,6.05,7.6,7.3,8.4,6.742422625400218,4.4,5.15,5.35,0.0,2.0,2.0,2.0,0,6,7.207091817999999,7.297183277999999,25,0
