Course_encode,COURSE_ID,COURSE_NAME,COURSE_TRACK
1,FIMP05397,MANIPULEO Y ALMACENAM. MATERIALES,1
2,FIMP04408,PRODUCCI‡N II (1997),1
3,FIMP06445,MANIPULEO Y ALMACENAM. MATERIALES,1
4,FIMP04382,PRODUCCI‡N II (1997),1
5,FIMP07005,MANIPULEO Y ALMACENAM. MATERIALES,1
6,FIMP07062,PRODUCCI‡N II (1997),1
7,FIMP04127,LOG÷STICA,1
8,ICM02444,INGENIER÷A DE MêTODOS,1
9,ICHE02725,PRODUCCI‡N II (1997),1
10,FIMP05363,LOG÷STICA,1
11,FIMP05371,INGENIER÷A DE MêTODOS,1
12,ICM01313,PRODUCCI‡N II (1997),1
13,FIMP05470,LOG÷STICA,1
14,FIEC05314,INGENIER÷A DE MêTODOS,1
15,FIEC05546,PRODUCCI‡N II (1997),1
16,FIEC01578,LOG÷STICA,1
17,FIEC05645,PLANEAC.RECURSOS MANUFACTURA (IAPI),1
18,FIEC02097,DISE•O PARA MANUFACTURA,1
19,PRTCO02261,PRODUCCI‡N,1
20,PRTCO02220,INGENIER÷A DE MêTODOS,1
21,EDCOM00323,PRODUCCI‡N II (1997),1
22,PRTCO01552,LOG÷STICA,1
23,PRTCO02154,PRODUCCI‡N II (1997),1
24,PRTCO02295,LOG÷STICA,1
25,FIMP06528,PRODUCCI‡N II (1997),1
26,FIMP06221,LOG÷STICA,1
27,ICHE01222,PRODUCCI‡N II (1997),1
28,FIMP05819,LOG÷STICA,1
29,FIMP04820,PRODUCCI‡N II (1997),1
30,FIMP06569,LOG÷STICA,1
31,FIMP06338,PRODUCCI‡N II (1997),1
32,FIMP07658,LOG÷STICA,1
33,FIMP08193,PRODUCCI‡N II (1997),1
34,FIMP08722,LOG÷STICA,1
35,ICQ01040,PRODUCCI‡N II (1997),1
36,ICQ01057,LOG÷STICA,1
37,CELEX00067,LOG÷STICA I,1
38,CELEX00075,PRODUCCI‡N II (1997),1
39,CELEX00091,LOG÷STICA,1
40,CELEX00083,LOG÷STICA I,1
41,CELEX00117,PRODUCCI‡N II (1997),1
42,CELEX00109,LOG÷STICA,1
43,ICHE01495,PRODUCCI‡N II (1997),2
