NEW_COD_STUDENT,YEAR,SEMESTER,Course_encode,COURSE_NAME,COURSE_ID
1,2003,1T,580 898 172 195 722,DERECHO II EDUCACIîN MUSICAL INGLƒS BçSICO B INGLƒS AVANZADO B FIS.EXPERIMENTAL I,FIEC04341 FIEC04358 ICHE01438 ICHE02675 ICM00901
1,2003,2T,197 1084 788 281 84,INGLƒS BçSICO B TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) ECOL.EDUC.AMB. TEORêA DEL ARTE SISTEMAS DISTRIBUIDOS,FIEC01735 FIEC01776 FIEC03012 ICHE01537 ICHE02089
1,2004,1T,461 1569 899 1350 62 275,ADM. RURAL Y COMERCIALIZACIîN SISTEMAS DE INFORMACIîN COMUNICACIîN Y PRESENTACIONES EFECTIVAS CULTIVO DE PLANCTON INVESTIGACIîN DE OPERACIONES I TEORêA DEL ARTE,FIEC00299 FIEC04366 FIEC04374 FIEC04390 ICHE01966 ICHE02709
1,2004,2T,787 463 397 100 1372,TEC.EXP.ORAL Y ESCR. MARKETING ESTRATEGICO INGENIERêA SANITARIA II TƒCNICAS DE IMPRESIîN FISIOLOG.CRUST.MOLUSCOS,FIEC01552 FIEC03319 ICHE01065 ICHE01982 ICHE03533
1,2005,1T,18 1567 227 276,DISE„O PARA MANUFACTURA ECOLOGêA Y EDUCACIîN AMBIENTAL (B) CONTABILIDAD I (1998-3) TEORêA DEL ARTE,FIEC02097 FIEC03459 FIEC05553 ICHE01693
1,2005,2T,155 1638 154 14 388,QUêMICA ORGçNICA II INGLƒS AVANZADO A DISE„O Y CONTROL DE EMPAQUE INGENIERêA DE MƒTODOS INGENIERêA SANITARIA II,FIEC02105 FIEC03046 FIEC05306 FIEC05314 FIEC05579
1,2006,1T,807 1639 156 15,ECOLOGêA Y EDUCACIîN AMBIENTAL (B) INGLƒS BçSICO B LAB.DE QUêMICA ORGçNICA II PRODUCCIîN II (1997),FIEC01545 FIEC03053 FIEC05322 FIEC05546
166,2000,1T,898 137 426 416 193,EDUCACIîN MUSICAL EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) COMPORTAMIENTO ORGANIZACIONAL COMPORTAMIENTO ORGANIZACIONAL INGLƒS AVANZADO B,FIEC04358 ICF00463 ICM00216 ICM00604 ICQ00018
166,2000,2T,580 148 65 428 722,DERECHO II TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INVESTIGACIîN DE OPERACIONES II COMPORTAMIENTO ORGANIZACIONAL FIS.EXPERIMENTAL I,FIEC04341 ICF00471 ICHE00877 ICM00646 ICM00901
166,2001,1T,148 168 147 643 788 397,TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS BçSICO A TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA RECUPERACION MEJORADA ECOL.EDUC.AMB. INGENIERêA SANITARIA II,ICF00471 ICHE00885 ICM00166 ICM00653 FIEC03012 ICHE01065
166,2001,2T,138 168 195 297 1350 1568,TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA INGLƒS BçSICO A INGLƒS AVANZADO B PATRIMONIO CULTURAL PREHISPçNICO CULTIVO DE PLANCTON SISTEMAS DE INFORMACIîN,ICF00489 ICHE00885 ICHE02675 ICM00158 FIEC04390 FIEC05066
166,2002,1T,84 461 899 787 1076 216 144,SISTEMAS DISTRIBUIDOS ADM. RURAL Y COMERCIALIZACIîN COMUNICACIîN Y PRESENTACIONES EFECTIVAS TEC.EXP.ORAL Y ESCR. TƒCNICAS PICTîRICAS(SIST.MOD.DIS.GRçF.) INGLƒS AVANZADO A EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL),ICHE02089 FIEC00299 FIEC04374 FIEC01552 FIEC00075 FIEC01800 FIEC03426
166,2002,2T,62 1567 462 292 1060 328,INVESTIGACIîN DE OPERACIONES I ECOLOGêA Y EDUCACIîN AMBIENTAL (B) MOD:EXTENS.RURAL Y COOPERAT. TEORêA DEL ARTE DIBUJO ARTêSTICO TEORêA DEL ARTE,ICHE01966 FIEC03459 FIEC00745 FIEC01099 FIEC03061 FIEC04382
166,2003,1T,463 1638 16 1255,MARKETING ESTRATEGICO INGLƒS AVANZADO A LOGêSTICA LABORATORIO DE CONTROLES  INDUSTRIALES ELƒCTRICOS,FIEC03319 FIEC03046 FIEC01578 FIEC02121
166,2003,2T,18 155 1639 460,DISE„O PARA MANUFACTURA QUêMICA ORGçNICA II INGLƒS BçSICO B MOD:EXTENS.RURAL Y COOPERAT.,FIEC02097 FIEC02105 FIEC03053 FIEC00679
166,2004,2T,1372 807 15 1293 1785,FISIOLOG.CRUST.MOLUSCOS ECOLOGêA Y EDUCACIîN AMBIENTAL (B) PRODUCCIîN II (1997) AUDIT. SIST. INFORMATICO I ANçLISIS NUMƒRICO (F),ICHE03533 FIEC01545 FIEC05546 FIEC03079 FIEC04275
167,2000,1T,137 148 426 193,EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA COMPORTAMIENTO ORGANIZACIONAL INGLƒS AVANZADO B,ICF00463 ICF00471 ICM00216 ICQ00018
167,2000,2T,580 898 137 148 426 722,DERECHO II EDUCACIîN MUSICAL EVALUACIîN Y CONTROL DE LA CALIDAD ALIMENTARIA (IAL) TOXICOLOGêA Y LEGISLACIîN ALIMENTARIA COMPORTAMIENTO ORGANIZACIONAL FIS.EXPERIMENTAL I,FIEC04341 FIEC04358 ICF00463 ICF00471 ICM00216 ICM00901
